% Similar to 'O-glycans 78 mammalian' list but without NeuGc
HexNAc(1) % Mass 203.0794
HexNAc(1)Hex(1) % mass of 365.1322
HexNAc(1)NeuAc(1) % mass of 503.1747
HexNAc(2) % mass of 406.1587
HexNAc(1)Hex(1)Fuc(1) % mass of 511.1901
HexNAc(2)Hex(1) % mass of 568.2116
HexNAc(3) % mass of 609.2381
HexNAc(1)Hex(1)NeuAc(1) % mass of 656.2276
HexNAc(1)Hex(2)Fuc(1) % mass of 673.2429
HexNAc(2)Hex(1)Fuc(1) % mass of 714.2695
HexNAc(2)Hex(2) % mass of 730.2644
HexNAc(3)Fuc(1) % mass of 755.2960
HexNAc(3)Hex(1) % mass of 771.2909
HexNAc(1)Hex(1)Fuc(1)NeuAc(1) % mass of 802.2855
HexNAc(2)Hex(1)NeuAc(1) % mass of 859.3070
HexNAc(2)Hex(1)Fuc(2) % mass of 860.3274
HexNAc(2)Hex(2)Fuc(1) % mass of 876.3223
HexNAc(2)Hex(3) % mass of 892.3172
HexNAc(3)Hex(1)Fuc(1) % mass of 917.3489
HexNAc(3)Hex(2) % mass of 933.3438
HexNAc(1)Hex(1)NeuAc(2) % mass of 947.3230
HexNAc(4)Hex(1) % mass of 974.3703
HexNAc(2)Hex(1)Fuc(1)NeuAc(1) % mass of 1005.3649
HexNAc(2)Hex(2)NeuAc(1) % mass of 1021.3598
HexNAc(2)Hex(2)Fuc(2) % mass of 1022.3802
HexNAc(2)Hex(3)Fuc(1) % mass of 1038.3751
HexNAc(3)Hex(1)NeuAc(1) % mass of 1062.3864
HexNAc(3)Hex(1)Fuc(2) % mass of 1063.4068
HexNAc(3)Hex(2)Fuc(1) % mass of 1079.4017
HexNAc(3)Hex(3) % mass of 1095.3966
HexNAc(4)Hex(1)Fuc(1) % mass of 1120.4282
HexNAc(4)Hex(2) % mass of 1136.4231
HexNAc(2)Hex(1)NeuAc(2) % mass of 1150.4024
HexNAc(2)Hex(2)Fuc(1)NeuAc(1) % mass of 1167.4177
HexNAc(2)Hex(2)Fuc(3) % mass of 1168.4381
HexNAc(2)Hex(3)NeuAc(1) % mass of 1183.4126
HexNAc(3)Hex(1)Fuc(1)NeuAc(1) % mass of 1208.4443
HexNAc(3)Hex(2)NeuAc(1) % mass of 1224.4392
HexNAc(3)Hex(2)Fuc(2) % mass of 1225.4596
HexNAc(1)Hex(1)NeuAc(3) % mass of 1238.4184
HexNAc(3)Hex(3)Fuc(1) % mass of 1241.4545
HexNAc(2)Hex(2)NeuAc(2) % mass of 1312.4552
HexNAc(2)Hex(2)Fuc(2)NeuAc(1) % mass of 1313.4756
HexNAc(3)Hex(2)Fuc(1)NeuAc(1) % mass of 1370.4971
HexNAc(3)Hex(2)Fuc(3) % mass of 1371.5175
HexNAc(3)Hex(3)NeuAc(1) % mass of 1386.4920
HexNAc(3)Hex(3)Fuc(2) % mass of 1387.5124
HexNAc(4)Hex(2)Fuc(2) % mass of 1428.5390
HexNAc(4)Hex(3)Fuc(1) % mass of 1444.5339
HexNAc(2)Hex(2)Fuc(1)NeuAc(2) % mass of 1458.5131
HexNAc(4)Hex(4) % mass of 1460.5288
HexNAc(5)Hex(3) % mass of 1501.5553
HexNAc(3)Hex(2)NeuAc(2) % mass of 1515.5346
HexNAc(3)Hex(2)Fuc(2)NeuAc(1) % mass of 1516.5550
HexNAc(3)Hex(2)Fuc(4) % mass of 1517.5754
HexNAc(3)Hex(3)Fuc(1)NeuAc(1) % mass of 1532.5499
HexNAc(3)Hex(3)Fuc(3) % mass of 1533.5703
HexNAc(4)Hex(3)Fuc(2) % mass of 1590.5918
HexNAc(3)Hex(3)NeuAc(2) % mass of 1677.5874
HexNAc(3)Hex(3)Fuc(1)NeuAc(2) % mass of 1823.6453
HexNAc(5)Hex(5) % mass of 1825.6610
HexNAc(6)Hex(3)Fuc(1) % mass of 1850.6926
HexNAc(6)Hex(4) % mass of 1866.6875
HexNAc(4)Hex(4)Fuc(3) % mass of 1898.7025
HexNAc(5)Hex(3)Fuc(1)NeuAc(1) % mass of 1938.7087
HexNAc(3)Hex(3)Fuc(2)NeuAc(2) % mass of 1969.7032
HexNAc(4)Hex(4)Fuc(2)NeuAc(1) % mass of 2043.7400
HexNAc(6)Hex(4)Fuc(2) % mass of 2158.8033
HexNAc(4)Hex(4)Fuc(3)NeuAc(1) % mass of 2189.7979
HexNAc(5)Hex(5)Fuc(3) % mass of 2263.8347
HexNAc(6)Hex(5)Fuc(3) % mass of 2466.9141
